Cursor X_w_Shift,Cursor Z_w_Shift,Cursor X,Cursor Z,CoM X,CoM Z,Target X,Target Z,Start X,Start Z,Cursor Shift X,Cursor Shift Z,Theta angle,Noise Level,Time Stamp
-0.9171047,-0.08289535,-1,0,0,0,-1.0099,0.009899497,-1,0,0.1172317,-0.08289535,135,0,8/21/2020 4:30:59 PM
-0.9171047,-0.08289535,-1,0,0,0,-1.0099,0.009899497,-1,0,0.1172317,-0.08289535,135,0,8/21/2020 4:31:04 PM
-0.9580474,0.04195253,-1,0,0,0,-1.0099,-0.009899497,-1,0,0.05932983,0.04195253,225,3,8/21/2020 4:38:45 PM
-0.4747889,0.003717493,-0.5342999,0.003717482,0.4657001,0.003717482,-0.5387558,0.003634274,-0.534289,0.003634274,0.05951095,1.040523E-08,180,3,8/21/2020 5:16:02 PM
-0.4744316,0.002393077,-0.5339425,0.002393067,0.4660575,0.002393067,-0.5387558,0.003634274,-0.534289,0.003634274,0.05951095,1.040523E-08,180,3,8/21/2020 5:16:04 PM
-0.4937897,0.01497273,-0.5533007,0.01497272,0.4466993,0.01497272,-0.5387558,0.003634274,-0.534289,0.003634274,0.05951095,1.040523E-08,180,3,8/21/2020 5:16:11 PM
-0.553054,0.08850782,-0.553054,0.008845419,0.446946,0.008845419,-0.5530349,0.004536688,-0.553035,0.008803725,0.0796624,0.0796624,270,0,8/21/2020 7:37:33 PM
-0.5530565,-0.01919797,-0.5530565,0.008940011,0.4469435,0.008940011,-0.5530789,0.01312637,-0.5530789,0.008855522,0.02813798,-0.02813798,90,0,8/21/2020 7:37:37 PM
-0.4860837,-0.0580447,-0.5530506,0.008922279,0.4469494,0.008922279,-0.5560142,0.01312083,-0.5529959,0.01010257,0.0947056,-0.06696698,135,1,8/21/2020 7:37:40 PM
-0.4861068,-0.05690378,-0.5530738,0.0100632,0.4469262,0.0100632,-0.5560142,0.01312083,-0.5529959,0.01010257,0.0947056,-0.06696698,135,1,8/21/2020 7:37:41 PM
-0.4870527,-0.05927998,-0.5540197,0.007687002,0.4459803,0.007687002,-0.5560142,0.01312083,-0.5529959,0.01010257,0.0947056,-0.06696698,135,1,8/21/2020 7:37:42 PM
-0.4602107,0.01099472,-0.5530126,0.0109947,0.4469874,0.0109947,-0.5571825,0.01098579,-0.5530336,0.01098579,0.09280191,1.6226E-08,180,2,8/21/2020 7:45:05 PM
-0.4602901,0.01140128,-0.553092,0.01140127,0.446908,0.01140127,-0.5571825,0.01098579,-0.5530336,0.01098579,0.09280191,1.6226E-08,180,2,8/21/2020 7:45:06 PM
-0.5530924,0.1327405,-0.5530924,0.01147988,0.4469077,0.01147988,-0.5530306,0.00690645,-0.5530307,0.01104403,0.1212606,0.1212606,270,0,8/21/2020 7:45:10 PM
-0.4985345,0.01142872,-0.5531285,0.01142871,0.4468715,0.01142871,-0.5571522,0.01115793,-0.5530101,0.01115793,0.05459395,9.545509E-09,180,0,8/21/2020 7:45:17 PM
-0.5531601,-0.05330463,-0.5531601,0.01143953,0.4468399,0.01143953,-0.5531642,0.01570427,-0.5531642,0.01155543,0.06474417,-0.06474417,90,3,8/21/2020 7:45:18 PM
-0.4718196,-0.06993486,-0.5531449,0.01139045,0.4468551,0.01139045,-0.5560532,0.01427996,-0.5531217,0.01134855,0.1150113,-0.08132531,135,2,8/21/2020 7:45:20 PM
-0.4716777,-0.0700009,-0.553003,0.01132441,0.446997,0.01132441,-0.5560532,0.01427996,-0.5531217,0.01134855,0.1150113,-0.08132531,135,2,8/21/2020 7:45:28 PM
-0.4793659,0.08217649,-0.5529741,0.008568287,0.4470259,0.008568287,-0.5559607,0.00564903,-0.5529875,0.008622289,0.1040977,0.0736082,225,0,8/21/2020 8:23:45 PM
-0.592361,-0.2672397,-0.6201035,-0.2949823,0.3798965,-0.2949823,-0.6594423,-0.2855833,-0.65646,-0.282601,0.03923387,0.02774253,225,0,8/21/2020 8:24:00 PM
